[2015-05-07 00:17:30 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:25) - List all files in directory .\src\data
[2015-05-07 10:11:03 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:13:12 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:30:25 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:46:18 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:46:35 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:50:38 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:52:28 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:57:39 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 10:57:39 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:143) - There total different word count is : 5276
[2015-05-07 10:57:39 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:144) - There total KWN word count is : 1694
[2015-05-07 11:00:14 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 11:00:14 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:143) - There total different word count is : 5276
[2015-05-07 11:00:14 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:144) - There total KWN word count is : 1694
[2015-05-07 11:05:15 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 11:05:15 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:82) - There total different word count is : 5276
[2015-05-07 11:05:15 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:83) - There total KWN word count is : 1694
[2015-05-07 11:13:24 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 11:13:24 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:82) - There total different word count is : 5276
[2015-05-07 11:13:24 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:83) - There total KWN word count is : 1694
[2015-05-07 11:23:57 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:26:43 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:27:24 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 1∫¡√Î
[2015-05-07 11:27:41 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:27:49 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:27:54 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:28:14 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 
[2015-05-07 11:29:59 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 0∫¡√Î
[2015-05-07 11:30:32 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 0∫¡√Î
[2015-05-07 11:30:40 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:29) - List all files in directory .\src\data
[2015-05-07 11:30:40 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:82) - There total different word count is : 5276
[2015-05-07 11:30:40 INFO ] [main] (cn.ac.ict.text.DocuVocaLoader:83) - There total KWN word count is : 1694
[2015-05-07 11:30:40 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 25∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:76) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 30∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 1∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
[2015-05-07 11:32:53 INFO ] [main] (cn.ac.ict.lda.LDAGibbsSampler:88) - 0∫¡√Î
